CO_CNES;NO_FANTASIA;NO_BAIRRO;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE
9765859;UNIDADE DE DISPENSACAO DE MEDICAMENTOS E INSUMOS;CENTRO;43;2512804;-6.435422087596161;-37.65295743942261
9759182;ESPACE DE VIE;PRATA;36;2504009;-7.2172805;-35.8947909
9870237;POSTO 1;CENTRO;1;2509396;-7.267;-37.351
9733523;WIN DIAGNOSTICOS;CENTRO;39;2507606;-7.17241;-35.59011
2321661;ESF LAGOA DA CRUZ;ZONA RURAL;2;2512309;-7.711587036952162;-37.92300224304199
2604981;ESF CRUZEIRO;CRUZEIRO;2;2512309;-7.737984985229197;-37.989354729652405
7797710;ACADEMIA DE SAUDE JOAO BATISTA NETO;CENTRO;74;2516755;-6.941823;-36.627402
7803958;UBS JOANA ALVES DE SOUSA;ZONA RURAL;2;2511103;-6.757;-36.48
7813600;FARMACIA BASICA DE RIACHAO DO POCO;CENTRO;43;2512762;-7.1465425;-35.2637743
3615979;CONSULTORIO ODONTOLOGICO ROSA HELENA W LACERDA;JARDIM OCEANIA;22;2507507;-7.114905971196985;-34.862977266311646
2362589;GRUPO ESCOLAR MARIA C DE OLIVEIRA;NOVA BRASILIA;22;2504009;-7.219588;-35.861494
9980237;FRMED;BELA VISTA;22;2504009;-7.218131;-35.900228
9987169;CONSULTORIO MEDICO DRA MARIA DAS GRACAS DANTAS LIMA;TORRE;22;2507507;-7.123164703062853;-34.860262870788574
9976442;FISIOTERAPIA E SAUDE SS LTDA;CENTRO;36;2513703;-7.1229251;-34.9814407
9974881;ANALISIS LABORATORIO CLINICO E INFANTIL GROTAO;GROTAO;39;2507507;-7.185187;-34.879252
9822550;CENTRO DE ATENCAO PSICOSSOCIAL DE FAGUNDES;CENTRO;70;2506103;-7.213285094823145;-35.472471714019775
6821774;UNIDADE DE VIGILANCIA SANITARIA;CENTRO;50;2513604;-7.382374569682885;-37.9889041185379
9816917;SA RODRIGUES CLINICA MEDICA;ALTIPLANO CABO BRANC;36;2507507;-7.1293668;-34.8268799
9794565;ACADEMIA DA SAUDE DE ALCANTIL;GAMELEIRA;74;2500536;-7.744034061018127;-36.055970191955566
9803688;FISIO ESSENCIALLE;CENTRO;36;2501302;-7.545299747199888;-35.7052606344223
9849777;IDEALLE ODONTOLOGIA INTEGRADA;JARDIM SAO PAULO;36;2507507;-7.1471338;-34.8508834
9752196;NEURO CONFIANCE CRM LIQUOR;CENTRO;36;2504009;-7.22338;-35.882443
7020848;INLAIS INST LUSO BRAS DE ATEND INTEGRADO DE SAUDE;ESTADOS;36;2507507;-7.1196003;-34.8469901
0754919;CONCEITO E SAUDE CLINICA INTEGRADA;CENTRO;84;2502102;-7.420178146917796;-38.217164799049904
0779172;CASA DA CRIANCA;TAMBIA;77;2507507;-7.1154609;-34.8810064
0739898;FARMACIA UNIDAS;CENTRO;43;2506905;-7.304473011048375;-35.47691345214844
0747688;DENTCLIN;JATOBA;36;2510808;-7.02434534;-37.2885765
6267920;USF X SANTA ROSA;SANTA ROSA;2;2512101;-6.765853562713021;-37.79204607009888
0836885;CONSULTORIO MEDICO DR VALDEBAN DANTAS DA;TORRE;22;2507507;-7.1210408152257605;-34.878196120262146
0667293;UNIDADE BASICA DE SAUDE MARIA LILA CIRNE NEPOMUCENO;CENTRO;2;2501609;-6.719932130174607;-36.0597038269043
0784583;CENTRO DE ASSISTENCIA INTEGRADE DE SAUDE MARCACAO;CENTRO;36;2509057;-6.767584844087713;-35.01336247989537
0647675;CENTRO DE REABILITACAO JOSE ADAILZO DA SILVA;CENTRO;36;2515930;-6.752349277775843;-35.442516803741455
0728977;UNIC ODONTOLOGIA ESTETICA E FUNCIONAL;CENTRO;22;2507002;-7.304302291618727;-38.1513863616122
0761427;STUDIO DE PILATES RAIANE RODRIGUES;ERNESTO GEISEL;36;2507507;-7.1737651;-34.868618
0736775;BODY FIT FUNCIONAL;CENTRO;22;2502102;-7.418346612508403;-38.21525573730469
9889914;APIPCD;CENTRO;36;2509701;-7.891778725084155;-37.11763143539429
6357962;SECRETARIA MUNICIPAL DE SAUDE;CENTRO;68;2503753;-6.962749096007719;-37.79918074607849
9892435;ANALISIS LABORATORIO CLINICO E INFANTIL LTDA;CENTRO;39;2513703;-7.1215822;-34.9795428
9733892;HNSN MEDICAL;TORRE;36;2507507;-7.1313139;-34.8622674
3365727;CONSULTORIO DE PSCOLOGIA VERA LUCIA DE ALMEIDA B PEREZ;TORRE;22;2507507;-7.124250596802729;-34.86161470413208
9761233;URODERME;CATOLE;22;2504009;-7.2334688;-35.8748941
9788697;CLIMIP;BRASILIA;36;2510808;-7.0244543;-37.2854676
9762469;AMIGO DO PEITO CITO PB;CENTRO;40;2500775;-6.784;-38.087
2814498;ESF XXI ANDRE GADELHA;ANDRE GADELHA;2;2516201;-6.751462039646346;-38.24370961887548
9855335;CONSULTORIO MEDICO NATIVITE;TAMBAU;36;2507507;-7.1184511;-34.8271542
9812946;ANALISES LABORATORIO;CENTRO;22;2516607;-7.637391815553032;-37.877018451690674
2682621;UNIDADE DE SAUDE DA FAMILIA CORVOADA;ZONA RURAL;2;2511202;-7.28108179712436;-35.12500762939453
9766138;POLO ACADEMIA DA SAUDE;CENTRO;74;2514206;-6.940511969312078;-38.1649911403656
9772731;BIO DIAGNOSTICO;CENTRO;39;2501302;-7.5458315438160914;-35.71005642414093
3127869;POSTO DE SAUDE ALTO DA BOA ESPERANCA;ZONA RURAL;1;2506905;-7.32884199107356;-35.332932472229004
9785752;VIGILANCIA EM SAUDE;CENTRO;50;2503555;-7.2117386;-37.0589693
7834144;CENTRO DE ESPECIALIDADES ODONTOLOGICAS DO CAIANA;CENTRO;36;2514305;-7.249196267299486;-38.30106496810913
9836616;ORAL CLINIC;ESTADOS;36;2507507;-7.1195822;-34.8678673
9808124;INSTITUTO OTORRINO;MIRAMAR;36;2507507;-7.118221849999999;-34.83722442269206
6914381;VIGILANCIA SANITARIA DE CATINGUEIRA;CENTRO;50;2504207;-7.127252760225404;-37.60934472084045
7002238;INOVI;CENTRO;36;2513703;-7.121652964358258;-34.98018980026245
3031047;UNIDADE DE PSF MIRIRI;MIRIRI;2;2513703;-7.138132776267836;-34.96598482131958
2334607;UBS CORDEIRO JOSE NICOLAU PESSOA;CORDEIRO;2;2506301;-6.850189355106007;-35.4998811914066
7662971;LABORATORIO DE PROTESE DENTARIA DE CAICARA;CENTRO;39;2503605;-6.61584;-35.4683
7667256;ACADEMIA DA SAUDE CASSERENGUE;CONJ FREI DAMIAO;74;2504157;-6.783602999068411;-35.81171751022339
7667388;ACADEMIA DA SAUDE;CENTRO;74;2505600;-7.426921590579626;-38.26621770858765
7663374;CENTRO DE ATENCAO PSICOSSOCIAL CAPS I;TAMBOR;70;2507101;-6.832266419979509;-35.24843875407567
7652070;CLINICA ABRANTES OLIVEIRA;CENTRO;22;2507507;-7.115012433397863;-34.86292898654938
7652771;CONSULTORIO ODONTOLOGICO DRA DANIELLE COSTA RODRIGUES;TAMBAUZINHO;22;2507507;-7.1200914;-34.8611998
